id,name,type,breed,age,energy_level,size,good_with_kids,health_condition,other_pets_compatibility,environment_suitability,special_needs,location
34,Pet34,Dog,German Shepherd,3,1,Large,Yes,Allergies,Yes,House,None,Los Angeles
35,Pet35,Dog,German Shepherd,10,3,Medium,No,Allergies,Maybe,Farm,None,San Diego
36,Pet36,Dog,Beagle,1,1,Small,Yes,Neutered,Yes,Apartment,Behavioral support,New York
37,Pet37,Cat,Siamese,1,1,Large,No,None,Maybe,House,Behavioral support,Phoenix
38,Pet38,Dog,Beagle,9,2,Medium,No,None,No,House,None,Philadelphia
39,Pet39,Dog,German Shepherd,4,1,Large,No,Neutered,No,Farm,Behavioral support,San Diego
40,Pet40,Cat,Siamese,9,2,Large,No,Neutered,Yes,House,Behavioral support,Philadelphia
41,Pet41,Cat,Persian,10,3,Small,No,Allergies,Yes,Farm,Mobility issue,Houston
42,Pet42,Cat,Maine Coon,9,1,Small,No,Allergies,Yes,House,Behavioral support,Dallas
43,Pet43,Dog,German Shepherd,5,1,Large,No,None,No,Apartment,None,Phoenix
44,Pet44,Cat,Siamese,10,1,Large,No,None,No,Apartment,Behavioral support,Dallas
45,Pet45,Dog,Labrador,6,1,Large,Yes,Neutered,Yes,Apartment,Behavioral support,Los Angeles
46,Pet46,Dog,Poodle,1,2,Small,No,Neutered,Maybe,Farm,None,New York
47,Pet47,Cat,Maine Coon,3,3,Large,No,Vaccinated,Maybe,House,Behavioral support,New York
48,Pet48,Dog,Beagle,9,1,Large,No,Vaccinated,Yes,House,Mobility issue,Phoenix
49,Pet49,Dog,German Shepherd,7,1,Large,Yes,Allergies,No,Farm,Behavioral support,Los Angeles
50,Pet50,Cat,Bengal,10,3,Small,No,Vaccinated,Yes,Apartment,Mobility issue,Los Angeles
51,Pet51,Dog,Bulldog,10,3,Small,Yes,Vaccinated,Yes,Farm,Behavioral support,San Diego
52,Pet52,Dog,Beagle,5,3,Large,Yes,Neutered,No,Apartment,Behavioral support,Phoenix
53,Pet53,Dog,Bulldog,3,3,Medium,No,Neutered,Yes,House,Mobility issue,Chicago
54,Pet54,Cat,Maine Coon,8,2,Small,No,Allergies,Maybe,House,Behavioral support,Dallas
55,Pet55,Cat,Persian,1,3,Medium,Yes,Neutered,Maybe,House,Behavioral support,Phoenix
56,Pet56,Dog,Bulldog,9,3,Large,No,Vaccinated,Maybe,Apartment,Behavioral support,Houston
57,Pet57,Cat,Maine Coon,1,1,Large,Yes,None,Yes,House,None,Philadelphia
58,Pet58,Cat,Sphynx,7,3,Large,Yes,Allergies,Maybe,Apartment,None,Philadelphia
59,Pet59,Dog,Beagle,7,2,Medium,No,Vaccinated,Yes,House,Behavioral support,Chicago
60,Pet60,Cat,Sphynx,3,1,Medium,No,None,Maybe,House,Behavioral support,Houston
61,Pet61,Cat,Maine Coon,10,2,Medium,No,Allergies,Yes,Apartment,None,Los Angeles
62,Pet62,Cat,Bengal,5,3,Medium,Yes,Neutered,Maybe,Apartment,Behavioral support,San Jose
63,Pet63,Dog,German Shepherd,3,1,Large,No,Vaccinated,Yes,House,Mobility issue,Philadelphia
64,Pet64,Cat,Bengal,3,2,Small,Yes,Neutered,Yes,House,Behavioral support,Los Angeles
65,Pet65,Dog,Beagle,4,2,Small,Yes,Neutered,Maybe,Farm,Behavioral support,New York
66,Pet66,Cat,Persian,6,1,Medium,No,Neutered,No,Farm,Behavioral support,San Diego
67,Pet67,Dog,Labrador,7,1,Medium,Yes,None,No,House,None,San Antonio
68,Pet68,Cat,Sphynx,2,2,Medium,Yes,Neutered,Maybe,Apartment,Mobility issue,Philadelphia
69,Pet69,Cat,Maine Coon,9,1,Large,No,Vaccinated,Maybe,Apartment,Mobility issue,San Diego
70,Pet70,Dog,Labrador,4,2,Medium,Yes,Allergies,No,Farm,Mobility issue,San Antonio
71,Pet71,Dog,Bulldog,5,2,Large,No,Vaccinated,No,House,Mobility issue,Chicago
72,Pet72,Cat,Sphynx,2,2,Small,No,Vaccinated,Maybe,House,Mobility issue,Chicago
73,Pet73,Cat,Persian,10,3,Medium,No,Vaccinated,No,Farm,None,San Antonio
74,Pet74,Cat,Siamese,5,2,Medium,Yes,None,Maybe,House,Behavioral support,Philadelphia
75,Pet75,Cat,Siamese,3,2,Large,No,Vaccinated,Yes,Apartment,Behavioral support,San Jose
76,Pet76,Cat,Persian,9,3,Large,No,None,Yes,House,Behavioral support,New York
77,Pet77,Dog,Poodle,8,2,Small,No,Allergies,No,House,None,Phoenix
78,Pet78,Dog,German Shepherd,5,1,Medium,No,None,Yes,House,Behavioral support,Phoenix
79,Pet79,Dog,German Shepherd,2,2,Large,Yes,None,Yes,Apartment,Mobility issue,Dallas
80,Pet80,Dog,Beagle,3,3,Medium,No,Allergies,No,House,None,San Jose
81,Pet81,Dog,German Shepherd,10,2,Small,Yes,Allergies,No,Apartment,Mobility issue,San Jose
82,Pet82,Dog,Poodle,9,3,Small,No,Allergies,No,House,Mobility issue,Chicago
83,Pet83,Cat,Siamese,7,1,Small,No,Allergies,Maybe,Farm,None,Houston
84,Pet84,Dog,Bulldog,10,2,Small,No,Allergies,Maybe,Farm,Mobility issue,Phoenix
85,Pet85,Dog,German Shepherd,7,1,Large,No,Allergies,Yes,House,Mobility issue,New York
86,Pet86,Cat,Persian,5,2,Medium,No,Vaccinated,Yes,Apartment,Mobility issue,Philadelphia
87,Pet87,Dog,Labrador,10,2,Large,No,None,Maybe,Farm,Behavioral support,Dallas
88,Pet88,Cat,Bengal,9,1,Medium,No,Allergies,No,House,Mobility issue,San Diego
89,Pet89,Cat,Persian,9,3,Small,No,Allergies,No,Apartment,None,San Jose
90,Pet90,Dog,Poodle,9,2,Small,Yes,Allergies,No,House,Behavioral support,San Diego
91,Pet91,Cat,Siamese,3,3,Large,Yes,Allergies,Maybe,House,Behavioral support,New York
92,Pet92,Cat,Sphynx,8,1,Medium,Yes,None,Maybe,Apartment,Mobility issue,San Antonio
93,Pet93,Dog,Beagle,2,3,Medium,Yes,Neutered,Maybe,House,None,San Antonio
94,Pet94,Cat,Persian,7,3,Medium,No,Allergies,Maybe,Apartment,None,Philadelphia
95,Pet95,Cat,Persian,7,2,Medium,No,None,Yes,Apartment,Behavioral support,Phoenix
96,Pet96,Dog,German Shepherd,6,2,Large,Yes,Vaccinated,No,Farm,None,San Antonio
97,Pet97,Cat,Bengal,4,3,Small,Yes,Neutered,Maybe,Farm,None,Los Angeles
98,Pet98,Cat,Siamese,6,3,Small,Yes,None,Maybe,Apartment,Behavioral support,New York
99,Pet99,Cat,Sphynx,9,1,Small,No,Allergies,Maybe,Apartment,Mobility issue,San Diego
100,Pet100,Dog,Bulldog,3,2,Small,Yes,Neutered,Maybe,House,Behavioral support,Houston
101,Pet101,Cat,Persian,3,2,Large,Yes,Allergies,Yes,Apartment,Behavioral support,Los Angeles
102,Pet102,Dog,Labrador,7,3,Medium,No,Vaccinated,No,House,None,Dallas
103,Pet103,Dog,German Shepherd,9,3,Small,No,None,Maybe,Apartment,Behavioral support,San Antonio
104,Pet104,Dog,Bulldog,7,3,Large,No,None,Yes,Apartment,Mobility issue,Phoenix
105,Pet105,Dog,Beagle,6,2,Large,No,Neutered,Yes,House,Mobility issue,Phoenix
106,Pet106,Dog,Bulldog,2,2,Large,No,Neutered,No,House,Behavioral support,San Diego
107,Pet107,Cat,Bengal,5,3,Medium,Yes,Neutered,Yes,Farm,Behavioral support,New York
108,Pet108,Dog,Bulldog,10,2,Large,No,Allergies,Maybe,Apartment,None,Phoenix
109,Pet109,Cat,Bengal,5,1,Large,Yes,Neutered,Maybe,House,Behavioral support,Phoenix
110,Pet110,Dog,Labrador,4,3,Medium,Yes,Vaccinated,No,House,None,Dallas
111,Pet111,Cat,Bengal,10,1,Medium,Yes,Allergies,Maybe,House,Behavioral support,San Diego
112,Pet112,Dog,German Shepherd,8,1,Medium,No,Vaccinated,Maybe,Apartment,Behavioral support,Houston
113,Pet113,Cat,Persian,4,1,Medium,Yes,Neutered,No,House,Behavioral support,San Jose
114,Pet114,Dog,German Shepherd,4,3,Small,No,Vaccinated,No,Farm,Mobility issue,Philadelphia
115,Pet115,Dog,Bulldog,9,3,Large,Yes,Vaccinated,No,Farm,None,Houston
116,Pet116,Dog,Bulldog,3,3,Large,Yes,Neutered,Maybe,Farm,Behavioral support,Chicago
117,Pet117,Dog,German Shepherd,5,3,Medium,Yes,Neutered,Maybe,Apartment,Mobility issue,Dallas
118,Pet118,Cat,Siamese,4,1,Small,No,None,Yes,Farm,Mobility issue,Philadelphia
119,Pet119,Dog,Beagle,8,1,Medium,Yes,None,Yes,Apartment,None,San Jose
120,Pet120,Dog,German Shepherd,8,2,Large,Yes,None,Yes,Farm,Behavioral support,Houston
121,Pet121,Cat,Siamese,5,2,Large,No,None,Maybe,Apartment,Behavioral support,Dallas
122,Pet122,Cat,Sphynx,5,3,Medium,No,Neutered,No,House,None,Dallas
123,Pet123,Cat,Bengal,2,1,Medium,Yes,Allergies,Maybe,House,Behavioral support,Chicago
124,Pet124,Dog,Labrador,7,3,Medium,Yes,None,No,Farm,None,Dallas
125,Pet125,Dog,Beagle,2,1,Small,No,Allergies,No,Farm,Behavioral support,Los Angeles
126,Pet126,Cat,Sphynx,4,3,Large,Yes,Allergies,Yes,Apartment,Behavioral support,Chicago
127,Pet127,Dog,German Shepherd,3,2,Large,No,None,Maybe,House,Mobility issue,Phoenix
128,Pet128,Cat,Maine Coon,6,1,Medium,No,Allergies,Maybe,House,Behavioral support,Phoenix
129,Pet129,Cat,Sphynx,7,2,Small,No,Vaccinated,No,House,None,Chicago
130,Pet130,Cat,Maine Coon,1,3,Small,Yes,Allergies,No,House,Mobility issue,Philadelphia
131,Pet131,Cat,Bengal,6,3,Large,Yes,Neutered,Maybe,Farm,Behavioral support,Phoenix
132,Pet132,Dog,Labrador,4,1,Medium,No,None,Yes,Farm,Behavioral support,San Diego
133,Pet133,Dog,Bulldog,10,3,Medium,Yes,Vaccinated,Yes,Farm,Behavioral support,Phoenix
134,Pet134,Cat,Bengal,5,1,Medium,Yes,Vaccinated,No,Farm,Behavioral support,Chicago
135,Pet135,Dog,German Shepherd,5,3,Small,Yes,None,Yes,House,None,Dallas
136,Pet136,Cat,Sphynx,9,2,Large,Yes,Neutered,Yes,Farm,None,Philadelphia
137,Pet137,Cat,Bengal,4,1,Medium,No,Neutered,No,House,Behavioral support,Houston
138,Pet138,Cat,Maine Coon,10,3,Small,Yes,Vaccinated,Maybe,House,Behavioral support,San Antonio
139,Pet139,Cat,Siamese,9,1,Large,No,Vaccinated,Maybe,House,Mobility issue,Dallas
140,Pet140,Cat,Sphynx,8,2,Large,No,Vaccinated,Maybe,Apartment,None,Los Angeles
141,Pet141,Dog,German Shepherd,3,3,Small,No,Neutered,Yes,Farm,Behavioral support,Phoenix
142,Pet142,Cat,Bengal,3,3,Medium,Yes,Neutered,Maybe,Farm,Behavioral support,San Diego
143,Pet143,Cat,Siamese,7,3,Medium,Yes,None,Yes,Apartment,Mobility issue,Philadelphia
144,Pet144,Cat,Persian,5,1,Large,No,None,Maybe,Farm,Mobility issue,San Jose
145,Pet145,Cat,Sphynx,3,1,Small,Yes,Allergies,Yes,Apartment,Mobility issue,Dallas
146,Pet146,Dog,Beagle,9,2,Small,No,Allergies,Yes,Farm,Mobility issue,Houston
147,Pet147,Cat,Persian,7,2,Small,Yes,Allergies,Yes,Apartment,Behavioral support,Los Angeles
148,Pet148,Cat,Siamese,8,3,Large,Yes,None,Yes,House,Behavioral support,San Antonio
149,Pet149,Dog,Beagle,7,3,Small,Yes,Neutered,Maybe,Farm,None,Dallas
150,Pet150,Dog,Beagle,4,1,Medium,No,Allergies,No,Apartment,Mobility issue,Los Angeles
151,Pet151,Cat,Bengal,5,3,Small,No,Vaccinated,Yes,House,Behavioral support,San Antonio
152,Pet152,Dog,Bulldog,6,2,Small,No,Allergies,Yes,Farm,Mobility issue,San Antonio
153,Pet153,Cat,Siamese,5,3,Large,No,Vaccinated,Yes,Apartment,Mobility issue,San Jose
154,Pet154,Dog,Beagle,9,1,Small,No,Vaccinated,Yes,Farm,Mobility issue,Phoenix
155,Pet155,Cat,Sphynx,7,1,Medium,Yes,Neutered,Maybe,Apartment,None,Chicago
156,Pet156,Cat,Siamese,3,1,Medium,Yes,Allergies,No,Farm,Behavioral support,Phoenix
157,Pet157,Cat,Siamese,1,2,Small,No,Vaccinated,Maybe,Apartment,Behavioral support,New York
158,Pet158,Cat,Sphynx,9,1,Small,Yes,Vaccinated,No,Apartment,Mobility issue,San Antonio
159,Pet159,Dog,Labrador,8,2,Medium,No,Neutered,Maybe,Farm,Mobility issue,Phoenix
160,Pet160,Cat,Bengal,5,1,Medium,No,Vaccinated,No,House,None,San Jose
161,Pet161,Dog,Beagle,4,3,Small,Yes,Neutered,Maybe,Apartment,None,Los Angeles
162,Pet162,Cat,Maine Coon,10,1,Small,Yes,Allergies,Yes,Farm,None,Phoenix
163,Pet163,Cat,Bengal,10,3,Large,No,Neutered,No,House,Behavioral support,Chicago
164,Pet164,Dog,Poodle,1,1,Small,Yes,Neutered,Maybe,Apartment,Mobility issue,Chicago
165,Pet165,Cat,Maine Coon,1,3,Medium,No,Allergies,Yes,Farm,None,San Antonio
166,Pet166,Cat,Persian,8,3,Medium,No,Vaccinated,Maybe,House,None,Dallas
167,Pet167,Cat,Maine Coon,3,2,Medium,No,None,Maybe,Apartment,None,Philadelphia
168,Pet168,Cat,Siamese,6,2,Large,Yes,Neutered,Yes,Apartment,Behavioral support,Los Angeles
169,Pet169,Dog,German Shepherd,5,1,Medium,No,None,No,Farm,Mobility issue,Dallas
170,Pet170,Dog,Poodle,9,1,Small,Yes,Vaccinated,Yes,Farm,None,Philadelphia
171,Pet171,Dog,German Shepherd,9,3,Small,No,Neutered,Maybe,Farm,Mobility issue,Philadelphia
172,Pet172,Dog,Labrador,3,3,Large,Yes,Neutered,Maybe,Farm,Behavioral support,Houston
173,Pet173,Cat,Siamese,7,2,Medium,No,None,No,House,Mobility issue,Phoenix
174,Pet174,Dog,Labrador,5,3,Large,No,Neutered,Maybe,Farm,None,Los Angeles
175,Pet175,Dog,Poodle,3,1,Medium,Yes,Neutered,No,Apartment,None,San Antonio
176,Pet176,Cat,Sphynx,4,1,Medium,Yes,Neutered,No,Apartment,Behavioral support,Los Angeles
177,Pet177,Dog,Beagle,8,1,Large,No,Allergies,Yes,Farm,Mobility issue,Dallas
178,Pet178,Cat,Sphynx,2,3,Large,No,Neutered,Maybe,House,Behavioral support,Los Angeles
179,Pet179,Cat,Persian,2,3,Medium,No,Vaccinated,No,House,Mobility issue,San Diego
180,Pet180,Cat,Sphynx,3,3,Large,No,Allergies,Yes,Farm,Mobility issue,Los Angeles
181,Pet181,Cat,Persian,8,3,Medium,No,Vaccinated,Maybe,Apartment,Behavioral support,Phoenix
182,Pet182,Cat,Sphynx,6,2,Large,No,Allergies,Yes,Apartment,Mobility issue,San Diego
183,Pet183,Dog,German Shepherd,8,1,Large,No,Allergies,Yes,Farm,Behavioral support,Dallas
184,Pet184,Cat,Sphynx,9,3,Medium,Yes,Vaccinated,Maybe,Farm,Mobility issue,San Jose
185,Pet185,Dog,Labrador,4,2,Large,No,None,Maybe,Farm,Mobility issue,Philadelphia
186,Pet186,Cat,Bengal,10,3,Small,No,None,Maybe,Apartment,Mobility issue,San Jose
187,Pet187,Dog,Labrador,6,1,Medium,No,Vaccinated,Maybe,House,Behavioral support,Philadelphia
188,Pet188,Cat,Maine Coon,4,2,Medium,Yes,Allergies,No,Farm,None,Phoenix
189,Pet189,Dog,Beagle,9,3,Large,No,None,No,Apartment,Behavioral support,Los Angeles
190,Pet190,Cat,Maine Coon,10,3,Large,Yes,Allergies,No,Apartment,None,Los Angeles
191,Pet191,Cat,Maine Coon,10,2,Large,Yes,None,Yes,House,None,San Diego
192,Pet192,Cat,Maine Coon,8,2,Small,Yes,Allergies,Yes,Apartment,Mobility issue,San Jose
193,Pet193,Cat,Sphynx,9,2,Large,Yes,None,Maybe,Farm,Mobility issue,Houston
194,Pet194,Dog,Labrador,10,3,Medium,No,Neutered,Maybe,House,None,Philadelphia
195,Pet195,Cat,Persian,7,1,Large,No,Vaccinated,No,Apartment,Behavioral support,New York
196,Pet196,Dog,German Shepherd,3,3,Medium,Yes,None,Yes,Farm,Mobility issue,Houston
197,Pet197,Dog,Poodle,4,1,Small,No,Neutered,Yes,Farm,Behavioral support,San Diego
198,Pet198,Cat,Sphynx,9,3,Small,No,Neutered,Maybe,Farm,Behavioral support,San Jose
199,Pet199,Cat,Maine Coon,6,2,Medium,No,Allergies,Yes,House,None,Philadelphia
200,Pet200,Dog,Beagle,6,3,Small,Yes,Vaccinated,Maybe,Farm,Behavioral support,Dallas
201,Pet201,Cat,Siamese,10,1,Large,No,Neutered,No,House,None,New York
202,Pet202,Cat,Sphynx,8,2,Large,No,Vaccinated,Yes,Apartment,None,San Diego
203,Pet203,Dog,Bulldog,8,3,Small,Yes,Allergies,Yes,Farm,Behavioral support,San Jose
204,Pet204,Cat,Siamese,10,2,Medium,Yes,None,Yes,Farm,Behavioral support,Phoenix
205,Pet205,Cat,Maine Coon,4,3,Large,No,Neutered,Maybe,Farm,None,Philadelphia
206,Pet206,Dog,German Shepherd,1,3,Medium,Yes,Vaccinated,Maybe,Apartment,None,San Antonio
207,Pet207,Dog,Beagle,4,3,Small,Yes,Vaccinated,Maybe,House,None,Los Angeles
208,Pet208,Cat,Siamese,2,2,Large,No,None,No,Farm,Behavioral support,Chicago
209,Pet209,Cat,Persian,2,2,Medium,Yes,None,No,House,Mobility issue,Chicago
210,Pet210,Cat,Bengal,4,1,Medium,Yes,Allergies,No,Apartment,None,Phoenix
211,Pet211,Dog,German Shepherd,1,3,Small,No,Vaccinated,Yes,Apartment,None,New York
212,Pet212,Dog,Bulldog,7,2,Small,No,Vaccinated,Yes,Apartment,None,San Jose
213,Pet213,Cat,Persian,9,1,Medium,Yes,Neutered,Maybe,House,None,Chicago
214,Pet214,Cat,Persian,9,1,Medium,Yes,Vaccinated,Maybe,Apartment,Behavioral support,Phoenix
215,Pet215,Dog,Bulldog,3,3,Large,Yes,Vaccinated,No,Apartment,None,Chicago
216,Pet216,Cat,Bengal,9,2,Medium,Yes,Vaccinated,No,Apartment,Behavioral support,Chicago
217,Pet217,Dog,Poodle,4,2,Small,No,Vaccinated,No,Farm,None,San Jose
218,Pet218,Dog,German Shepherd,2,3,Large,No,None,Maybe,Farm,Mobility issue,Phoenix
219,Pet219,Cat,Persian,8,1,Medium,No,None,No,House,Mobility issue,San Diego
220,Pet220,Dog,Poodle,2,2,Large,No,None,No,House,Behavioral support,New York
221,Pet221,Dog,Beagle,2,2,Large,Yes,Allergies,Maybe,Apartment,None,New York
222,Pet222,Dog,Bulldog,7,1,Medium,Yes,None,Maybe,Farm,None,Chicago
223,Pet223,Cat,Siamese,4,1,Medium,Yes,Neutered,Maybe,House,Mobility issue,Houston
224,Pet224,Cat,Persian,10,3,Large,Yes,Vaccinated,No,Apartment,None,Los Angeles
225,Pet225,Cat,Siamese,4,3,Medium,Yes,None,Yes,House,Behavioral support,New York
226,Pet226,Dog,Beagle,10,1,Large,No,None,Maybe,Farm,None,Phoenix
227,Pet227,Dog,Bulldog,7,3,Small,No,None,No,House,Mobility issue,San Diego
228,Pet228,Cat,Sphynx,1,3,Large,No,Vaccinated,Maybe,House,Mobility issue,Houston
229,Pet229,Dog,Labrador,2,1,Medium,Yes,Neutered,Maybe,House,Mobility issue,Phoenix
230,Pet230,Cat,Maine Coon,9,2,Medium,No,Vaccinated,Yes,House,Mobility issue,Los Angeles
231,Pet231,Cat,Persian,3,3,Small,No,None,Yes,Apartment,Mobility issue,New York
232,Pet232,Cat,Persian,2,3,Small,Yes,None,Maybe,House,Behavioral support,Chicago
233,Pet233,Cat,Sphynx,1,3,Large,Yes,Neutered,Maybe,House,Mobility issue,San Jose
234,Pet234,Dog,Beagle,6,2,Small,No,None,Yes,Farm,Mobility issue,San Antonio
235,Pet235,Cat,Persian,5,3,Small,Yes,Neutered,Maybe,Apartment,Behavioral support,San Diego
236,Pet236,Dog,Poodle,2,1,Large,No,Neutered,Yes,Farm,Behavioral support,New York
237,Pet237,Dog,Labrador,7,3,Large,Yes,Neutered,Maybe,House,Behavioral support,New York
238,Pet238,Dog,Labrador,4,1,Medium,Yes,Vaccinated,No,Farm,Mobility issue,Houston
239,Pet239,Dog,German Shepherd,9,1,Small,No,None,No,Farm,None,San Antonio
240,Pet240,Cat,Persian,8,3,Medium,No,None,No,Apartment,Behavioral support,Dallas
241,Pet241,Cat,Persian,3,2,Large,Yes,None,No,Apartment,Behavioral support,New York
242,Pet242,Cat,Maine Coon,3,1,Medium,No,Neutered,No,Apartment,None,Philadelphia
243,Pet243,Dog,Poodle,7,2,Medium,No,None,No,House,Behavioral support,Philadelphia
244,Pet244,Cat,Bengal,3,3,Large,Yes,Neutered,Yes,Farm,Mobility issue,San Jose
245,Pet245,Dog,German Shepherd,6,2,Large,No,Allergies,Maybe,House,Mobility issue,San Antonio
246,Pet246,Dog,Poodle,2,3,Large,No,Allergies,Maybe,House,Mobility issue,Houston
247,Pet247,Dog,Bulldog,9,1,Large,No,None,Yes,House,Mobility issue,Houston
248,Pet248,Cat,Sphynx,3,2,Large,Yes,None,Maybe,Apartment,Mobility issue,San Antonio
249,Pet249,Cat,Bengal,4,3,Small,No,Allergies,Maybe,Farm,None,New York
250,Pet250,Dog,Labrador,2,1,Small,Yes,Allergies,Yes,House,Behavioral support,Houston
251,Pet251,Dog,Beagle,5,1,Medium,No,None,No,House,None,Chicago
252,Pet252,Cat,Maine Coon,2,3,Small,Yes,Neutered,No,Apartment,None,San Jose
253,Pet253,Cat,Persian,9,3,Large,No,Allergies,Maybe,Apartment,Mobility issue,Chicago
254,Pet254,Cat,Siamese,1,1,Medium,No,None,No,Apartment,Mobility issue,San Jose
255,Pet255,Cat,Bengal,10,3,Small,No,Vaccinated,No,Farm,None,Philadelphia
256,Pet256,Cat,Siamese,6,1,Small,Yes,Allergies,Maybe,House,Mobility issue,Los Angeles
257,Pet257,Dog,Bulldog,5,3,Small,No,None,Yes,Farm,None,San Antonio
258,Pet258,Dog,Bulldog,5,1,Large,No,Vaccinated,No,House,Mobility issue,New York
259,Pet259,Dog,Bulldog,5,2,Medium,No,Vaccinated,No,Farm,None,San Diego
260,Pet260,Dog,Bulldog,9,1,Small,Yes,Vaccinated,No,House,Mobility issue,San Diego
261,Pet261,Cat,Bengal,1,3,Large,No,None,No,House,None,San Antonio
262,Pet262,Cat,Maine Coon,3,2,Large,No,Neutered,No,House,Behavioral support,Los Angeles
263,Pet263,Cat,Siamese,6,3,Small,Yes,Neutered,Yes,Apartment,Mobility issue,Chicago
264,Pet264,Cat,Siamese,3,3,Small,Yes,Vaccinated,Yes,Farm,Mobility issue,Philadelphia
265,Pet265,Dog,Beagle,10,3,Medium,No,Vaccinated,Maybe,Apartment,Mobility issue,Chicago
266,Pet266,Dog,Labrador,3,1,Large,Yes,Vaccinated,No,Farm,Mobility issue,Houston
267,Pet267,Dog,Labrador,7,2,Large,Yes,None,Yes,Farm,Behavioral support,San Jose
268,Pet268,Dog,Poodle,5,3,Large,Yes,None,Yes,Farm,Mobility issue,Los Angeles
269,Pet269,Dog,Beagle,5,1,Large,Yes,Vaccinated,Maybe,Apartment,Mobility issue,Chicago
270,Pet270,Cat,Persian,3,2,Large,No,None,Maybe,Farm,Behavioral support,Houston
271,Pet271,Cat,Maine Coon,6,3,Small,Yes,Allergies,No,Apartment,Mobility issue,New York
272,Pet272,Dog,Poodle,6,3,Small,No,Vaccinated,Maybe,Farm,Behavioral support,New York
273,Pet273,Dog,Bulldog,10,2,Large,Yes,Allergies,Maybe,House,Behavioral support,Philadelphia
274,Pet274,Cat,Maine Coon,8,2,Medium,No,Neutered,Yes,Farm,Mobility issue,New York
275,Pet275,Cat,Bengal,8,2,Medium,No,None,No,House,Mobility issue,Chicago
276,Pet276,Cat,Bengal,1,1,Medium,No,Neutered,No,House,Mobility issue,San Antonio
277,Pet277,Dog,Beagle,10,1,Small,Yes,Vaccinated,No,House,Mobility issue,Phoenix
278,Pet278,Cat,Persian,1,2,Medium,Yes,Allergies,Maybe,House,Mobility issue,Houston
279,Pet279,Cat,Sphynx,8,2,Medium,Yes,None,Maybe,Apartment,Behavioral support,Los Angeles
